text,emoji
i started feeling funny and then friday i woke up sick as a dog,surprise
i admit to feeling bitterly surprised at how rapidly they have thrown in the towel,surprise
i'm feeling a little romantic,love
i never worry about having to repay you or feel burdened when i couldn't afford something because we always manage to understand and have fun despite being broke which is a lot of the time,sadness
i'm feeling uber romantic and lovey dovey this week,love
i know i would feel weird about that and probably act strangely for a few days,surprise
i've had to harden my heart to toughen my skin in order to truly protect myelf from feeling utterly devastated,sadness
i'm feeling slightly intimidated,fear
i was feeling frustrated and tired today,anger
i feel valuable a idreamculture,joy
i also feel proud of her,joy
i barely even feel like explaining the weird history of shadow dancer the not really console port of the arcade sequel to shinobi even though there was already a console sequel to shinobi thats a totally different game the revenge of shinobi,surprise
i feel a little strange chasing after them since i'm so disappointed in the brand as a whole,fear
i am not hausa but i feel offended especially as the crazy motorcyclist who is now getting up from the ground like nothing happened bears no resemblance to anyone from the north,anger
i was thinking about going out to dinner but i'm feeling like i might not be bothered too,anger
i am sitting here feeling a bit grumpy moanday blues anyone else feeling this way too,anger
i most want to do better think harder feel more and be more tender,love
i feel like it's a boy i would be pretty shocked if it was so somewhere in there my gut or my brain is saying girl,surprise
i also learned that when i feel passionate about what i'm writing i can actually be quite good at it,joy
i have just good news to share and it feels so amazing just being able to sit here and feel relief and sunshine,joy
i feel that our values need to be shifted in the direction of caring for all things on earth for each other and for the planet we live on,love
i feel slightly unfortunate in the sense that the calendar year wasn't a great year for the systems if i'm honest,sadness
i hardly feel they have any wow factor at all until i saw how stunned liv was at the entire concept,surprise
i shouldn't have been surprised by the amount of courage that these men had but i can't help but feel slightly shocked by it,surprise
i'm even feeling liked by the girls who hate pretty much everyone,love
i seem to feel some fondness for this curious old man,surprise
i asked myself why do you feel frightened of being,fear
i think i love her enough now to feel pretty insulted and rawr about it,anger
i'm feeling that kind of feeling when you are confused yet like bleh,fear
i like my new bunnysuit when i wear it i feel cute,joy
i don't know if he knew about buffy but i for one was feeling nervous about how the whole multiple dogs on a flight thing was going to pan out,fear
i am by no means complete spiritually or intellectually and believe you never should be however i find myself sometimes looking on others with a knowledge and sense of feeling superior in feeling that i am further along my journey than them,joy
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,sadness
i am raising funds for the jag foundation jointly achieving growth a charity that i feel extremely passionate about,love
i wonder maybe he has this awesome excuse and i will feel even more idiotic when he tells me it but i know he wont tell me it because he is not gonna call,sadness
i remember feeling paranoid,fear
i feel like i'm waiting for her to get heartbroken all over again,sadness
i am back in the shire and although it is lovely to be reunited with fields once more i am feeling a bit restless and missing london life,fear
i discovered out what created my wife feel lovedi was shocked,surprise
i'm saying this having not read the book the characters were hard to empathise for and a lot of the time i found myself not feeling distraught when something happened but rather uninterested and blank,fear
i feel i hate him like i have never ever hated anyone like that but i cant stop looking at his existing symbol,anger
i feel like i am noticeably very inhibited in a lot of other things,sadness
i feel a gentle tap on my shoulder,love
i feel like we re not a moonlighting type of show where all the tension is resolved at the end,joy
i lift different now because it hurt so bad the day it happened that i can't get it out of my mind and i feel myself being a bit timid,fear
i feel very weird about so much of my psychological safety coming from noah providing money,surprise
i am not sure why i feel the need to share this experience with the world maybe its just that now that its over its actually pretty funny,surprise
i knew except they'velost that girly feeling and gained a graceful wisdom,joy
i know if i've been feeling quite nostalgic these days and have spent a huge amount of time looking back and remembering,love
is that you feel it more than hear it and the vibrations are so gentle that it doesnt bother me,love
i have to admit i feel a little hesitant about embedding a music video below in this case,fear
i feel loving me no one but i will be fighting for anyone pagetype item url mimedoger,love
i was in i could feel him and i hated the drawn tight feeling i had,anger
i feel terrible for mrs,sadness
i could just picture it with it homely feel and also having the smell of books would just be totally amazing,surprise
i just go into these modes where i want to write then feel disgusted and do not what to write at all,anger
i feel strange,fear
i didnt feel threatened or concerned really but i wasnt entirely happy about the situation either perhaps instinctively because i'm usually quite prepared even pleased to speak to a passer by,fear
i often find myself in a hostile environment my leaves feel damaged my blossoms die on the vine,sadness
i feel agitated right on through,fear
i rarely feel hesitant to say something sometimes even too much,fear
i feel restless otherwise known as useless or lazy when i take long breaks from writing,fear
i feel so cranky right now,anger
i men zhu said is snapbacks cheap i also feel here too dangerous at present for the sake of under the door of safety since see or leave this green lotus temple first wholesale obey snapback hats,anger
i said before i feel like a hypocrite advocating for diabetes support and awareness without supporting my own situation,love
i know how u feel i hated how people say to just stop thinking about it but try to get help and distract yourself also try to get ur anxiety out in a healthy or helpful way,sadness
i suspect this is a big reason why so many on screen interactions feel so fake,sadness
i feel a bit overwhelmed in some areas so i may come off as whiney,surprise
i feel petty and mean unemotional when i'm with her,anger
i also feel devoted to my profession because i get ever so annoyed when i see things that would adversely bring adverse publicity on our profession like some hearnsays from ill informed patients the media and some ignorant politicians making use of health care as a tool to boost their publicity,love
i was blessed but in some ways i feel like i'm being tortured by divinity,fear
i am not even sure how to formulate my thoughts since i just put it down and am feeling slightly overwhelmed,fear
ill let you in on a few more huge dieting secrets just because i'm feeling very festive and giving right now,joy
i feel sort of numb,sadness
i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,anger
i feel welcomed appreciated,joy
i'm feeling overwhelmed,surprise
i can not drop this class because then i lose the financial aid for not having enough credits plus i feel like a quitter and i'm too stubborn for that,anger
i put my knitting down and covered my ears with my hands trying to minimize the feeling of being assaulted,fear
i want them to feel as if they are intelligent and able to make their own decisions,joy
i made the other day which more or less sums up how i feel about the delusion of my life for the past years or so i became somewhat frightened of myself and decided to get a little distance from that guy,fear
i don't have to go around questioning broads or feeling suspicious,fear
i feel curious excited and impatient,surprise
i believe its possible to be joyful and full of thanks while feeling overwhelmed and exhausted by life,surprise
i've been feeling really gloomy about some situations in my life and i'm stuffing my emotions with good,sadness
i feel very disheartened today,sadness
i feel very fond of my pinky kids,love
i just follow my dreams and my heart and some how that makes life feel sweet and work for me,love
i don't feel comfortable doing it is what i'm trying to say,joy
i feel festive,joy
i could feel the depth and richness of the hot pot starting to develop but every small event took me away from gathering the heat to speed along the process,love
i used to have this friend who always always had to have a boyfriend and if she didnt she would get majorly depressed and feel defective or something and i think she was that way because of her mom and i always felt really bad for her,sadness
i honestly have so much research to do and have to think of so many color schemes and how to implement organizational tips for small spaces that i feel more than overwhelmed with the intensity of this project however there is the masochist in me that is incredibly excited,surprise
i feel burdened a scratcheverything,sadness
i feel overwhelmed by my circumstance in all of my mere human ness i will remember that god has landed here,surprise
i am enjoying the month old puppy piddi and feeling the gentle breeze that floats through the cool inner chambers of the house,love
i feel that there is a clever caption in the making here but i'm not quite feeling well enough to provide one myself,joy
when my mother was seriously ill and had to be admitted to the hospital,fear
i was flipping through my fifth grade yearbook feeling that sense of nostalgia that anyone would if they were looking at their innocent though year old self,joy
i got on and was nervous feeling very timid and shy but after a while we were talking like weve known each other our whole lives,fear
i feel fucked tape last year make sure you get this,anger
i was feeling cold towards to my partner although i didnt think i presented that way i felt like i had to fake my feelings for him and that i didnt love him anymore,anger
i could genuinely feel loving toward someone without them ever knowing it if i dont act like it,love
i already feel the atmosphere around it seems dangerous,anger
i understood somewhere in my heart his feeling of decite and abandonment of all hope for ever trusting me again,joy
i feel like getting away from all the friendly tasty goodness that seems to abound in santa cruz including the unseen ambient pot smoke that always makes me so lazy i swear when i visit the laid back town a visit to the university's university of california santa cruz renowned a,joy
i remember feeling equally dazed and road rollered when the twins came home and that was with the pee and poo all neatly tied up in diapers,surprise
i feel like i'm being petty about this,anger
i remember smiling when i saw her picture and feeling so happy for you guys that you finally got to meet your girl,joy
i enjoy reading immensely and i feel strange or off when i'm in between books or just lack the time to read,surprise
i look into the news especially at these unsettling times sometimes i just feel so burdened to pray and cry out to god for the nations,sadness
i guess i feel that the things i wrote about were so petty and small that i'm kind of embarrassed to go back through them,anger
i tend to become a little animated when i talk about something in which i feel passionate,love
i feel like i enter his class petrified that i'm going to do or say something that will make him think less of me,fear
i know that car enthusiasts are a bit tribal and youre all starting to feel suspicious about a car journalist whos turned to the dark side but dont worry i still prefer four wheels to two,fear
i even started feeling impatient with myself when that didn't exactly happen,anger
i feel liked these days by both tom and myself,love
i was feeling an act of god at work in my life and it was an amazing feeling,surprise
i'm feeling very thankful for the rhythm of these days,joy
i would veer from feeling utterly terrified to utterly disorientated to utterly queasy,fear
i feel so blessed to be apart of it,love
i am drawn to totally solid neutral bags in black and brown throw in a vibrant patent red and maybe if i'm feeling dangerous a metallic clutch but that's usually the most adventurous i get with my accessories,anger
i truly feel but its somehow not enough for me to hate him or to get mad,anger
i still had the feeling and it surprised me,surprise
i'm not feeling very loyal toward them,love
i was uptight today over work issues but when i saw him all my tense emotions dissipated coz all i felt at that moment was this warm fuzzy feeling that feeling i get when i'm laying with him on my bed in a tender embrace and i plant sweet kisses on his cheeks,love
i could have expected in every way and i was feeling a bit overwhelmed at that point how quickly life changed in the past weeks,fear
i feel like i'm not pretty smart interesting enough for my boyfriend and that he would feel more stimulated or happy with someone else,joy
i feel like these lenses look so cute,joy
i didnt want aubrey to feel pressured or rushed into baptism but then i realized that she doesnt need to have a perfect knowledge in order to be baptized,fear
i really do feel unfortunate for the person who has to carrry me,sadness
i am feeling a combination of smug and happy,joy
i suddenly feel anxious i'm crying over little things,fear
i never knew it hurt his feelings i just thought he was being sarcastic in return,anger
i can't help but feel a bit miserable,sadness
i would love to stop feeling so effing needy,sadness
i want to write about this because i left campus feeling truly thankful to wesleyan for putting on the kind of event i never dreamed i d be able to attend after just a fairly short car ride,joy
i feel comfortable enough doing presentations in front of professors and students i am a performer so its somewhat like the same thing most of my experiences back in grade school were hard when it came to presenting because i wasnt into it or got made fun of,joy
i am skinny look at me i am thin i love myself but i am feeling ignored i am thinner now i try to disappear,sadness
i feel paranoid when i wear makeup out,fear
i told you how i felt and you treated me bad you made me feel so stupid but you know what,sadness
i'm feeling pretty terrible ill health and life took over and i was unable to get my package sorted out and posted in time for which i,sadness
i also like to share my happiness by spreading a smile at work sometimes i feel like the people i work for are a bit uptight so its nice to add some chatter to lighten the mood,fear
i feel funny things happening to my face and all over my body,surprise
i didnt feel as obnoxious as before when i didnt feel like doing anything but sulk,anger
i feel like people like this arent getting caught therefore the government plays it up when they catch criminals of petty crimes to make themselves look better,anger
i said feeling strange uttering those words but space flight was still a pretty novel way of traveling in my time,fear
i thought i should be excited that i'm starting work but i'm feeling reluctant as ever,fear
i left feeling quite dissatisfied with the whole thing specifically that she dictated to me that i should be on meds and did not discuss with me why she thought this was necessary nor what other lifestyle options there might be to reduce my risks etc,anger
i understand the feeling of a writer unsure of his skill unsure of his audience wondering if he has wasted hours and hours of his life making marks on a page,fear
i can often go a week or two without iming anyone at all if i'm not feeling especially outgoing and no one pokes at me,joy
i know your feeling because i have it and i am glad you have it,joy
i wake up i realize that my panty is wet and i feel very horny,love
i love and feel passionate about i'm living my dream and now that i'vegotten a taste of what that feels like nothing can stop me,love
i'm happy to have this in my kitchen but it feels like someone rushed this out and cut corners,anger
i am also noticing that i can only handle so much incoming information or i start to feel overwhelmed,surprise
i feel kind of insecure here anyways back to doha,fear
i still feel a bit stunned and i suppose i should be racked with regret and shame,surprise
i feel it more when i see you not bothered,anger
i'm feeling timid six,fear
i was feeling quite stressed wondering if he would be able to look after bb during my run and if not what was i going to do,sadness
i feel so helpless knowing i cant protect them and i worry about the others now,fear
while cycling in the country,fear
i know how you feel and i'm sorry,sadness
i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,sadness
i wanted to take this opportunity to express the way i feel about myself the blog and your lovely selfs of course,love
i even feel surprised if its dark outside,surprise
i hadnt anticipated happening quite so quickly in this new international life was feeling passionate about honduras,love
i always had this negative perception when i was asked about getting pregnant and my misscariage i always walked away from those conversations feeling somewhat offended,anger
i dont know how i feel about my beloved teams draft,love
i honestly feel at heart we should be faithful to each other if its yo girl,love
i feel guilt that i was cranky last night and didn't fully embrace my evening alone with the boy,anger
i feel free really better a,joy
i feel uncomfortable when i wear lenses that are not brown but these lenses make me want to get more blue lenses,fear
i just know to begin with i am going to feel shy about it,fear
i feel a little disheartened with like i'm making an effort and getting nothing in return,sadness
i kind of like the feeling that i am longing aching for spring,love
i usually doubt my self at this point as i feel i should be that amazing housewife who motors all day and has a list of things they can tell theyre husband they did all day while they were at work and i was at home,surprise
i ask her what shed like to do and she just says she doesnt mind so i am always making suggestions and just feel like i'm having to try every day to keep her entertained,joy
i feel i need to put my beloved uggs to one side and get back on the ballet pump bandwagon,love
i really do feel it is beaten into us to breastfeed,sadness
i believe a lot of girls feel this way especially when they are feeling really low about themselves,sadness
i am feeling hmmmmm melancholy,sadness
i feel so carefree i never think of the crap going on in my life,joy
i've stayed at a few of the trendier hotel in north america and some have a tendency to feel cool and unfriendly,joy
i feel shaken by it and i'm far far above the age group targeted,fear
i feel moderately handsome at the minute but as soon as i go out ill look like a twat,joy
is only friend made yuuki feel special,joy
i considered jogging since it is not too cold today but decided against it as my right ankle is already feeling tender for some reason,love
i will confess to you i have had moments of feeling overwhelmed and ill admit being a bit melancholy,fear
i'm still contagious and while i am desperately wanting to cuddle him id feel rotten if i let my selfish physical wants get him sick,sadness
i feel brave and rare and golden,joy
i feel so nervous for them,fear
i told him i was feeling unloved and underappreciated by the kids,sadness
i put forward to all their social diktats make them feel i am rebellious towards their authority,anger
i'm most expressive when i feel distraught,fear
i would sometimes feel awkward talking to my brothers or mum if i dont see them for awhile,sadness
i dont really care and i dont feel proud of myself at all,joy
i feel like when i left scad i was finally coming into my own and making work that impressed people,surprise
i just feel troubled,sadness
i cant help but feel that bioware have missed an opportunity here,sadness
i can't believe all the newborns that i'vephotographed with heads full of dark hair but i am feeling just a little envious because my babies are bald and blonde as they come,anger
i feel more truthful than usual these days,joy
i feel so idiotic all the sudden,sadness
i first read this book during college and it has helped me cope with the feeling of helplessness and fear of the uncertain future,fear
i feel like it was a bit rushed,anger
i still feel the tender touch of a hand in mine,love
i feel peaceful and calm within myself,joy
i know that its hard cos you might feel helpless or anything but sometimes its something that is beyond what you can do,sadness
i feel glad that justice will be served west said,joy
i would feel terrified for them and enjoy this movie a little better,fear
i really feel amazed on how they can do that,surprise
i was feeling drained before i even sat in the chair,sadness
i love the combination of lavender and orange scent but feel free to substitute any other fragrance oil or essential oils that you wish,joy
i feel that phrase implies a calm orderly procession in which i would remove the refuse from my,joy
i feel this strange bonding with my bed and wardrode have been using both a little more than a decade,fear
i bought into what the world had told me would fill this emptiness but all it did was leave me lonely feeling confused at the emotional baggage and physical consequences i never expected,fear
i can only guess that the boys are feeling shy when i'm sick but honestly i could use some help now,fear
i found some four ply tweedy yarn from rowan that i thought would be just the right thing for that flying fans shawl i started but didnt feel was very successful in the yarn that i had a,joy
i just cant stand that thick dragging feeling of oil paints so i'm glad i had the underlying texture on the wood to give the painting some extra interest,joy
i tend to stop breathing when i'm feeling stressed,sadness
i feel intimidated like i just want to turn around and head back into the safety of my yoga class or hop on the tried and trusty treadmill,fear
i cant help feeling like something violent happened as soon as the cameras turned off wish i could find it on youtube,anger
i feel for you you guys who been insulted ill treated lathi charged at the grounds,anger
i feel bothered by any of these things i open a door,anger
i wanted to create this feeling of longing and sadness,love
i li pouring down in the corner under the moonlight shines on his face i saw his pale face and mouth with half closed eyes bear people feel more distressed,fear
i feel indecisive it feels like the security that i usually feel from sensing the ground beneath my feet is suddenly gone and i am left feeling wobbly and unhappy,fear
i reply feeling suspicious,fear
i feel like i only get mad if i think someones doing something thats really unjust,anger
i love those cars and i feel that my second attempt at owning one will be a pleasant one,joy
i feel like telling these horny devils to find a site more suited to that sort of interest the playboy if there is one forum perhaps,love
i am feeling something i've never ever felt before and its unpleasantly pleasant,joy
i careened from feeling confident in my abilities as a writer to being equally sure that i will never ever write anything worth reading,joy
i feels so lame,sadness
i feel any better,joy
i wasnt sure if i could be concerned when there were people around me feeling incredibly apprehensive some turning back while i may as well have been dancing up the cliff face,fear
i feel bore and restless,fear
i feel like i am coming into my own really caring about myself and what i am feeling thinking doing,love
i'm feeling really really sarcastic caustic or theres been an influx of idiots into my flists daily lives,anger
is voice as usual is perfect but is like you know yomis voice can do better and you kind of feel frustrated because this song is not the best and doesnt highlight yomis voice properly,anger
i'm feeling a bit overwhelmed tonight and not really for any good reason,surprise
i feel so blessed to know that i have such an immense family of supporters whom continue to comfort me,love
i feel but i'm trying to be stubborn and ignorant at the same time so that i can keep going,anger
i master myself and force some sunshine that i do not feel at all into my voice to indicate that this unfortunate lapse of several minutes is over and we are going to move past it start over try again,sadness
i feel like if this was a longer book i would have liked it more,love
i cant help but feel somehow he was punished in heather mills divorce settlement he is he does have a good sense of hum,sadness
i remember feeling amazed,surprise
i'm just feeling very delicate today,love
i didnt like my former fob and felt joy when i received a telegram offering me a new one that i though better and for which i had been waiting,joy
i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth,fear
i feel that i know god is real and that he is loving if i feel that i have air tight reasons for such notions what kind of sense would it make to blame him for the misfortunes that befall us when in fact jesus warns that will have tribulation in the world,love
i feel a bit timid about using this blog because i know that other classmates and even complete strangers will be able to read it,fear
i knew my dress instantly last time because it made me feel special thats the reaction i wanted this time too,joy
i was kinda laying on my disappeared arm playing on the computer then i got up to turn eat dinner but on the way adjectives of a sudden this wierd feeling in my collar chest felt like a bounce of electricity shocked me or something then my left paw,surprise
i dont mean to boast but i feel rather impressed by my message,surprise
i was feeling a little longing for paris this week so i did what every artist does,love
i feel very happy and excited since i learned so many things,joy
i still feel quite loyal in other views on the conservative side,love
i do feel tia is important to the story,joy
i understand now feel what my beloved meant when he said i wish there had never been anyone but you,love
i'm feeling a bit frustrated with myself tonight,anger
i feel completely submitted and devoted to a,love
i'm feeling rebellious and need to do something to relieve some of the turmoil in my body,anger
i have something to tell you girls i finally feel brave enough to share the news,joy
i feel like supporting local and indie businesses is extra important for me since i run one myself,love
i've been cleaning the apartment trying to get life back in order after vacation and holiday mayhem and instead of feeling grumpy about it like i usually would i am feeling overwhelmingly blessed,anger
i feel lots more energy i feel very impatient and irritable,anger
i am sitting here today feeling just miserable,sadness
i always want my guests to know how much i appreciate them coming to visit so i strive to really make them feel welcomed and loved,joy
i'm actually going to try again this month because i had a lot of my mind in june and i think that led to me feeling a bit lethargic so fingers crossed ill do better this time,sadness
i would end up feeling rejected and feeling like they just played a cruel joke on me by getting my hopes up just to purposely crush them,sadness
i feel hopeless and i realize i have met none of those goals,sadness
i did this especially feels strongly at the moment with gina who just died but had as fucked up as a family as you could ever imagine and wrote me letters during my misgivings and insecure times about how my love was enough,anger
i remember feeling dismayed from this observation,sadness
i feel that i have got my looks and sweet nature from my mom,love
i want to not feel shy with them i want to have fun with them,fear
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,love
i set off feeling strangely nervous and quite weak but slowly worked through the problems and was soon attempting the toughest problems,fear
i feel a bit nostalgic as i wonder where my passion for writing a blog times a week has gone,love
i feel there is a shortage of loyal people whom you can trust,love
i reshaped the workout slightly because my left upper arm was feeling tender,love
i'm zooming right through the second trimester and i feel fantastic just as i did with trinity,joy
i feel uncertain and not entirely safe,fear
i feel rude taking pictures of them,anger
i aint pissed angry mad or anything i just feel pretty much fuckin insulted,anger
i feel romantic too,love
i feel threatened or anxious i become numb and detatched from my emotions and environment,fear
i was left feeling a little delicate but thoughtful,love
i remember is the feeling of falling and miyavi's shocked face,surprise
i dont come from a perfect past i come from a past that feels very messy and loud and chaotic and full of words words words that never really meant much or were lies,sadness
i love what i do and i feel so blessed and lucky to be able to travel and be creative and meet amazing people and wake up every day loving my job,love
i thought breaking up with my best friend of years would make me bitter and feel hateful towards her,anger
i feel ignored annotation title google bookmark img src thequeenbuzz,sadness
i'm just feeling pissed,anger
watching a violent movie,anger
i was feeling pretty impressed with myself,surprise
i don't know what it feels like to be in love so i'm starting to get scared that i don't actually love him,fear
i know theres no hurry to get it done but it still feels a bit weird to not be checking out the newest patch content,surprise
i feel like i kinda gettin lil bitchy with him but gimme a break i get my rag in a few hours,anger
i can remember what it feels like to be enthralled by him i cant actually feel it,surprise
i love feeling productive and getting things cleaned out an sorted through,joy
i feel scared anxious,fear
i might feel offended at times from hearing statements where that i strongly disagree,anger
i'm feeling bouncy enough and if i can rustle up some people keen to go with me,joy
i don't care if any of you read this but this is just what i feel when i'm around you guys i feel hated,sadness
i'm not feeling joyful or spiritually fit,joy
i feel a remembrance of the strange by justin aryiku falls into the latter category,fear
i'm not quite sure how she really feels about it because i'm pretty sure that she realizes that she is going to miss getting to watch the parade which is something she really enjoys,joy
i feel insecure and lack of confidence,fear
i feel check the wonder in all that you see you'vegot to get loving unconditionally,love
i am tired of feeling sorry for myself so i decided to just be thankful and praise the lord as we rode,sadness
i should feel all weepy,sadness
i often feel lonely,sadness
i could loose my job i would be so f amp ed for xmas i hate xmas i hate holidays i wish they would go away i feel nervous i feel sad what if i disappoint my family my friends,fear
i feel like i fucked up big time but i have to protect a and myself,anger
i cant help but wince as i do that feeling an unpleasant tightness in my back and a dull ache in my head since i've opted for resting it against the wall behind me,sadness
i would constantly feel agitated,fear
i search search search and very rarely feel satisfied with the solutions found,joy
i set aside that feeling and happily helped them now that every thing was been normalized and the students had liked me they change my schedule and i am just forgotten to oblivion,love
i may be having a constant dullness and heaviness over my heart that makes me feel restless bored and unsatisfied however i know very well that such feelings are evoked by the time of the month,fear
i began to feel such a strong connection to several of them,joy
i was grateful for each and every one but it still made me feel funny,surprise
i'm happy to report that i'm not feeling too petty these days mostly because there have been countless examples lately showing me how irrational a woman reaching adulthood and some who should all ready be there can actually concieve,anger
i got back up after feeling in vain really because of scarlets reply regarding a myspace message,sadness
i felt fine when we got there but after a short while i started feeling really funny,surprise
i was feeling abnormally wimpy so i staked out my bird feeder,fear
i feel so amazing about taking this trip as i think ill finally be able to relax and feel comfortable at home and somehow just melt back into it,surprise
i guess thats why i bought some black nail varnish cos i was feeling rebellious,anger
i feel strongly it could be helping people and doing what i am unsure of but it isn't within the us,fear
i'm feeling a lot less ugly duckling and a lot more a,sadness
i feel as though the concept of lifestyle change rather than weight loss has been beaten to death but it really is something that i believe in and am currently experiencing,sadness
i can help but feel sympathetic,love
i was just yesterday feeling uncomfortable with highschool sigh,fear
i was feeling wronged and impotent,anger
i hope you can feel glad that she gave you so many things including memories that you can cherish,joy
i'm feeling like a tortured teen i decided to pile on the neon which was the shizz in my day,fear
i just feel shy because i was just a sharia stream student who is now still struggling with european union policy and decision making thesis while those uncles there discussing trillion dollars projects in government lead companies glc,fear
i nearly called an ambulance feel a bit shaken up saw the doc who has given me some diazepam which i'm not sure of takeing,fear
i am allowing myself to feel these things and not be bothered,anger
i been that i feel like i can traipse in and out of all your lives tromping on your heel loving hearts with my stilettos,love
i asked feeling hesitant,fear
